sku,statut_gate,motifs,n_sommets_brut,n_sommets_effectifs,debord_mur_mm,debord_plafond_mm,bruit_tessellation_count,jitter_contour_count,platitude_ratio,platitude_critere_applique,signal_projection_egale_bbox_w
D555,SUSPECT_GEOMETRIE,DEBORD_PLAN_PLAFOND (ecart=5.278mm),16,16,0.0002999999999957481,5.278100000000002,0,0,0.9747817945697806,True,False
D562,OK,,12,12,0.000499999999995282,0.0,0,0,0.2525205264428882,True,False
D576,SUSPECT_GEOMETRIE,DEBORD_PLAN_MUR (ecart=24.405mm),11,11,24.405,0.0002000000000066393,0,0,0.23411561636099484,True,False
D614,SUSPECT_GEOMETRIE,DEBORD_PLAN_MUR (ecart=9.526mm),19,17,9.525600000000004,0.0002999999999957481,0,0,0.550852470885316,True,False
D620,OK,,30,22,0.0002000000000066393,0.00039999999999906777,0,0,0.9681898992057013,True,False
D631,OK,,22,22,0.0002000000000066393,0.00010000000000331966,0,0,0.8997741959171685,True,False
D705,OK,,19,19,0.00039999999999906777,0.0,0,0,0.9882331167629382,True,False
D706,OK,,8,8,0.0,0.00010000000000331966,0,0,0.651585395610464,True,False
D709,OK,,10,10,0.0,0.0002000000000066393,0,0,0.6845302502321697,True,False
D718,OK,,22,6,0.0004999999999881766,0.00010000000000331966,0,0,0.9990752017297636,True,False
D720,OK,,25,6,0.00030000000000995897,0.0002000000000066393,0,0,0.9816384877014838,True,False
D748,SUSPECT_GEOMETRIE,"BRUIT_TESSELLATION (count=3, seuil_provisoire=3)",31,26,0.00039999999999906777,0.00010000000000331966,3,0,0.26214211514278946,True,False
D891,OK,,14,14,0.00030000000000995897,0.00029999999998153726,0,0,0.6561391651163724,True,False
PLIN10,SUSPECT_GEOMETRIE,CONTRAT_LOADER_MUR_VIDE,6,6,,0.0003000000000010772,0,0,0.12218441413259853,False,False
PLIN12,SUSPECT_GEOMETRIE,"CONTRAT_LOADER_MUR_VIDE; CONTRAT_LOADER_PLAFOND_VIDE; SOMMETS_INSUFFISANTS (brut=4, effectifs=4)",4,4,,,0,0,0.0859813233681953,False,False
PLIN15,SUSPECT_GEOMETRIE,"CONTRAT_LOADER_MUR_VIDE; SOMMETS_INSUFFISANTS (brut=3, effectifs=3)",3,3,,0.0002999999999993008,0,0,0.11069989912687968,False,True
PLIN20,SUSPECT_GEOMETRIE,"CONTRAT_LOADER_MUR_VIDE; BRUIT_TESSELLATION (count=6, seuil_provisoire=3)",24,23,,0.00010000000000331966,6,0,0.08689108489242055,False,True
TAL26,OK,,14,13,0.0,0.0,0,0,0.5,True,True
